battery.raw,followers.raw,skywalker,left,test.1.raw,test.2.raw,test.3.raw,exam.raw,days
74,5600,0,0,86,86,84,84,MWF
76,600,0,0,96,100,100,90,MWF
92,2300,1,0,100,73,100,95,TR
51,600,0,0,78,50,69,50,MWF
100,300,0,0,87,97,96,95,MWF
91,4800,0,0,98,96,76,67,Online
54,5900,1,0,73,82,0,0,TR
59,6100,1,0,72,35,74,55,TR
75,6300,1,0,80,76,87,48,TR
84,1200,0,0,0,0,0,0,MWF
57,5900,1,0,78,48,66,54,TR
76,2600,0,0,80,80,90,76,MWF
82,2600,1,0,0,0,0,0,TR
71,2200,1,0,22,26,31,21,TR
71,5100,1,1,91,100,100,91,TR
73,5700,0,0,47,60,49,59,MWF
65,3300,0,0,74,74,85,74,MWF
0,0,0,0,0,0,0,0,MWF
70,3700,1,0,6,46,66,30,TR
82,6500,1,0,86,92,100,91,TR
69,6300,1,0,88,86,78,78,TR
93,4000,1,0,88,85,86,85,TR
41,2900,0,0,84,97,90,61,Online
100,500,0,0,94,71,88,78,Online
50,300,1,0,93,88,89,88,TR
89,2600,1,0,90,67,0,0,TR
89,4100,1,1,81,70,97,55,TR
100,2000,1,0,86,93,93,87,TR
88,600,0,0,85,100,84,87,MWF
74,6500,1,0,77,75,87,77,TR
68,5100,0,0,74,88,70,73,MWF
99,3400,0,0,100,98,98,89,TR
53,3400,0,0,66,78,89,56,MWF
70,8300,1,0,100,96,100,94,TR
97,1300,1,0,95,96,91,90,TR
74,4800,1,0,78,76,78,53,TR
60,600,0,0,0,0,0,0,MWF
89,900,0,1,74,25,69,65,MWF
94,4100,1,0,79,99,99,91,Online
98,1200,1,0,91,80,89,78,TR
60,1900,0,0,67,42,82,62,MWF
82,2500,0,0,99,100,87,96,MWF
79,1300,0,0,78,77,86,69,TR
77,4300,1,0,27,50,58,43,TR
84,2800,1,0,79,44,57,65,TR
87,2200,0,0,72,81,49,68,TR
96,5000,1,0,90,100,89,89,TR
97,3600,1,0,95,98,90,97,TR
62,9200,1,0,41,53,65,48,TR
69,5800,0,1,77,62,68,69,Online
92,4100,1,0,86,80,80,80,TR
58,3200,1,0,64,0,0,0,TR
0,0,0,0,64,83,55,54,MWF
88,600,1,0,98,95,96,98,TR
75,6900,1,0,0,0,0,0,TR
66,5900,0,0,70,72,69,85,MWF
84,1400,0,0,53,69,68,55,TR
73,6200,1,0,73,56,73,54,TR
100,300,1,0,85,95,100,86,TR
88,6200,1,1,95,83,90,83,Online
87,3500,1,1,97,85,78,69,Online
74,1900,0,1,95,93,93,93,Online
64,3700,0,0,57,51,39,37,MWF
98,2700,1,0,100,81,73,86,TR
69,7800,1,0,91,78,51,64,TR
81,6500,1,0,56,56,0,0,Online
29,1000,1,0,0,0,0,0,MWF
77,6100,1,0,88,90,100,88,TR
55,7400,1,0,57,43,40,0,TR
98,7100,0,0,100,100,85,83,Online
89,900,1,0,92,45,79,81,TR
90,2400,0,0,95,76,90,73,MWF
86,4100,1,0,0,0,0,0,TR
80,1500,0,0,87,100,95,95,MWF
55,1800,0,0,80,70,46,77,MWF
87,5800,1,0,89,93,95,95,TR
57,1400,0,0,99,94,84,84,MWF
62,3000,1,0,59,64,58,51,TR
97,1200,1,0,83,100,95,69,MWF
80,1600,0,0,79,90,88,92,MWF
68,10300,0,0,86,76,81,81,MWF
80,3000,0,0,96,95,81,84,TR
85,2200,0,0,80,92,73,63,MWF
64,4000,1,0,57,43,67,27,TR
99,4900,0,0,91,74,94,64,Online
95,2700,0,0,98,93,92,72,Online
58,2400,1,0,82,86,79,86,TR
88,6100,1,0,0,0,0,0,TR
69,700,1,0,82,100,94,94,MWF
91,5000,1,0,82,93,97,79,TR
68,2000,1,1,49,35,0,0,TR
81,1200,0,0,100,95,94,98,MWF
68,1400,0,0,83,95,81,80,MWF
75,1400,1,0,58,60,54,57,MWF
85,400,1,0,46,0,0,0,TR
84,4700,1,0,98,100,98,97,TR
100,1300,0,0,94,94,89,89,MWF
82,1400,0,0,86,94,82,86,MWF
0,0,1,0,73,36,0,0,TR
65,5600,1,0,46,44,60,44,TR
